V91,X2.1...What.is.your.country.of.citizenship.,X2.4...How.old.are.you.,X2.6...What.is.your.current.marital.status.,X2.7...What.is.your.level.of.education....Selected.Choice,X2.8..Please.name.your.college.university,X2.9...When.did.you.begin.your.program....Year,X2.10...What.is.your.major.,X2.11...Do.you.work.a.part.time.job.during.your.study.in.Turkey.,X3.1...What.type.of.school.did.you.attend....Selected.Choice,X5.3...Was.Turkey.your.first.choice.to.study.abroad.,X5.6...Did.your.current.university..in.Turkey..grant.you.a.scholarship.,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.saw.it.as.an.opportunity.to.explore.other.cultures,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.wanted.to.internationalize.myself,X5.8...What.were.your.main.reasons.to.study.in.Turkey....I.found.Turkey.economically.affordable,X5.8...What.were.your.main.reasons.to.study.in.Turkey....My.family.was.keen.of.Turkey.s.Islamic.culture,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Difficulty.with.the.language,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Wary.to.live.in.another.country,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.leave.family,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Concerned.to.get.visa,X5.9....What.factors.concerned.you..before.moving..to.study.in.Turkey....Not.enough.financial.means.to.study.abroad,X5.10...Would.you.like.to.live.abroad.after.your.studies.,X5.12...Do.you.intend.to.return.to.your.country.after.graduation.,X6.1...Did.you.need.financial.aid.to.study.abroad.,X6.3...Do.you.consider.your.study.abroad.as.an.adventure.in.a.new.country.,X8.1...How.many.times.did.you.return.to.your.country.during.your.last.academic.year.,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mostly.socialize.with.Turkish.people,X8.4...Regarding.your.social.life..which.statement.is.correct....I.mainly.socialize.with.people.from.home.country,X8.4...Regarding.your.social.life..which.statement.is.correct....I.generally.socialize.with.other.foreign.students..Not.including.Turkish.or.home.country.,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Turkish.language,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Financial.barriers,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Getting.internships.jobs,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Quality.of.teaching,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Being.far.from.parents,X8.5...How.would.you.scale.the.following.problems.while.studying.in.Turkey....Health.services,X8.6...Are.you.satisfied.with.your.overall.experience.in.Turkey.
3.5,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2021,Psychology,No,A fee paying school,No,No,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Yes,Undecided,Yes,Yes,Once,About half the time,Sometimes,Always,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Extremely satisfied
3.333333333,Pakistan,22,Never been married,Undergraduate,Middle East Technical University,2020,Architecture,No,A fee paying school,Yes,No,Very important,Moderately important,Very important,Very important,Very important,Not important,Not important,Moderately important,Moderately important,Yes,I intend to return ,No,Yes,Twice,Never,Always,Sometimes,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	",Somewhat dissatisfied
2.833333333,Bangladesh,35,Married,PHD,Cukurova University,2017,Engineering Technologies,No,A public school,No,No,Not important,Moderately important,Not important,Not important,Very important,Not important,Moderately important,Not important,Very important,No,I intend to return ,Yes,Yes,Never,Sometimes,Always,Sometimes,"Always problematic	","Always problematic	","Always problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.5,Egypt,22,Never been married,Undergraduate,Middle East Technical University,2018,Petroleum Engineering,No,A public school,Yes,No,Not important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Once,Sometimes,About half the time,Most of the time,"Sometimes problematic	","Not problematic	","Always problematic	","Always problematic	","Always problematic	","Sometimes problematic	",Somewhat satisfied
3.166666667,Egypt,25,Never been married,Undergraduate,Middle East Technical University,2017,Physics,No,A public school,No,Yes,Very important,Very important,Very important,,Moderately important,Moderately important,Moderately important,Moderately important,Not important,Yes,I would return after a period of work,Yes,Yes,Once,About half the time,Most of the time,About half the time,"Not problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.5,Syrian Arab Republic,20,Never been married,Undergraduate,Middle East Technical University,2020,Electrical Engineering,Yes,An international school,Yes,Yes,Not important,Not important,Very important,Moderately important,Not important,Moderately important,Not important,Very important,Moderately important,Maybe,I do not intend to return,No,Yes,Never,Always,Sometimes,Never,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",,"Always problematic	",Somewhat satisfied
3.333333333,Syrian Arab Republic,26,Never been married,Undergraduate,Middle East Technical University,2015,Architecture,No,A public school,Yes,Yes,Not important,Not important,Very important,Very important,Moderately important,Moderately important,Not important,Moderately important,Moderately important,No,I intend to return ,Yes,Yes,Once,Sometimes,Most of the time,Most of the time,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
3.166666667,Egypt,19,Never been married,Undergraduate,Middle East Technical University,2021,Petroleum Engineering,No,A fee paying school,Yes,No,Moderately important,Not important,Very important,Very important,Moderately important,Not important,Not important,Not important,Moderately important,Yes,I intend to return ,Yes,No,Once,About half the time,Sometimes,Most of the time,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Always problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
NA,United States of America,24,Never been married,Undergraduate,Middle East Technical University,2016,Aerospace Engineering,No,A public school,Yes,No,Moderately important,Moderately important,Very important,Very important,Not important,Moderately important,Moderately important,Not important,Not important,Yes,I intend to return ,No,Yes,Never,Sometimes,Never,Always,,"Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Extremely satisfied
2.833333333,Syrian Arab Republic,19,Never been married,Undergraduate,Middle East Technical University,2022,Physics,No,A fee paying school,No,No,Very important,Not important,Moderately important,Very important,Very important,Not important,Moderately important,Not important,Not important,Maybe,I do not intend to return,No,No,Never,Always,Most of the time,Most of the time,"Always problematic	","Not problematic	",,"Not problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
2.666666667,Egypt,21,Never been married,Undergraduate,Middle East Technical University,2022,Metallurgical Engineering,Yes,An international school,Yes,No,Not important,Not important,Moderately important,Not important,Very important,Not important,Not important,Moderately important,Moderately important,Yes,I do not intend to return,No,No,Never,Sometimes,Never,Always,"Not problematic	","Sometimes problematic	",,"Not problematic	","Not problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
2.333333333,Cameroon,18,Never been married,Undergraduate,Middle East Technical University,2022,Industrial And Manufacturing Engineering,No,A fee paying school,Yes,Yes,Very important,Very important,Very important,Moderately important,Moderately important,Not important,Moderately important,Moderately important,Not important,Maybe,I would return after a period of work,Yes,Yes,Never,Sometimes,Most of the time,Most of the time,"Sometimes problematic	","Not problematic	",,"Not problematic	","Sometimes problematic	",,Somewhat satisfied
3.333333333,Pakistan,23,Never been married,Undergraduate,Uskudar University,2022,Computer Engineering,No,An international school,No,Yes,Moderately important,Very important,Moderately important,Very important,Moderately important,Very important,Moderately important,Very important,Not important,Yes,I do not intend to return,Yes,Yes,Never,Most of the time,Always,Most of the time,"Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
3,Pakistan,20,Never been married,Undergraduate,Uskudar University,2022,Computer Engineering,No,An international school,No,Yes,Moderately important,Very important,Moderately important,Very important,Not important,Moderately important,Moderately important,Moderately important,Not important,Maybe,I would return after a period of work,Yes,Yes,Once,Sometimes,Always,About half the time,"Not problematic	","Not problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3,Iran,23,Never been married,Undergraduate,Middle East Technical University,2020,Civil Engineering,No,A fee paying school,No,No,Not important,Not important,Moderately important,Not important,Moderately important,Not important,Very important,Not important,Moderately important,Yes,I do not intend to return,No,No,Never,Never,Always,Sometimes,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat dissatisfied
3.5,Syrian Arab Republic,21,Never been married,Undergraduate,Middle East Technical University,2019,Environmental Engineering,No,A public school,Yes,Yes,Not important,Moderately important,Very important,Very important,Very important,Moderately important,Not important,Very important,Moderately important,Maybe,Undecided,No,Yes,Once,Never,Sometimes,Always,"Always problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	",Somewhat satisfied
2.5,Iran,21,Never been married,Undergraduate,Middle East Technical University,2022,Industrial And Manufacturing Engineering,No,A public school,Yes,No,Not important,Very important,Moderately important,Not important,Moderately important,Very important,Very important,Not important,Very important,Maybe,I would return after a period of work,Yes,Yes,More than two times,Sometimes,Always,Sometimes,"Not problematic	","Always problematic	","Always problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
3.333333333,Jordan,21,Never been married,Undergraduate,Middle East Technical University,2019,Architecture,No,An international school,No,No,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not important,Not important,Yes,Undecided,No,Yes,Twice,Most of the time,Sometimes,Most of the time,"Sometimes problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
NA,France,20,Never been married,Undergraduate,Middle East Technical University,2020,Computer Engineering,Yes,A public school,Yes,Yes,Not important,Moderately important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Maybe,I intend to return ,Yes,No,Once,Sometimes,Sometimes,Most of the time,,"Sometimes problematic	","Always problematic	","Not problematic	",,,Somewhat satisfied
3.166666667,Iran,22,Never been married,Undergraduate,Baskent University ,2021,Health And Medical Preparatory Programs,No,A public school,No,No,Not important,Not important,Moderately important,Not important,Very important,Very important,Very important,Not important,Not important,Maybe,I intend to return ,No,No,Twice,Never,Always,Sometimes,"Always problematic	","Sometimes problematic	","Always problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	",Extremely dissatisfied
NA,Afghanistan,19,Never been married,Undergraduate,Middle East Technical University,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.333333333,Kazakhstan,18,Never been married,Undergraduate,Middle East Technical University,2022,Teacher Education: Multiple Levels,No,A public school,No,No,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Not important,Not important,Maybe,I intend to return ,Yes,Yes,Never,Sometimes,Never,Most of the time,"Sometimes problematic	","Sometimes problematic	",,"Always problematic	","Sometimes problematic	",,Somewhat satisfied
2.666666667,Azerbaijan,19,Never been married,Undergraduate,Middle East Technical University,2020,Mechanical Engineering,No,A public school,Yes,No,Very important,Very important,Very important,Not important,Not important,Not important,Not important,Not important,Not important,Maybe,I intend to return ,No,Yes,Twice,Never,Always,Sometimes,"Not problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Always problematic	","Not problematic	",Somewhat satisfied
NA,Afghanistan,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Egypt,17,Never been married,Undergraduate,Middle East Technical University,2022,Petroleum Engineering,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.833333333,Azerbaijan,18,Never been married,Undergraduate,Middle East Technical University,2022,Mathematics,No,A public school,No,No,Moderately important,Very important,Very important,Moderately important,Not important,Very important,Not important,Not important,Moderately important,Yes,I do not intend to return,Yes,Yes,Never,Always,Sometimes,Never,"Not problematic	","Sometimes problematic	","Not problematic	","Always problematic	","Not problematic	","Sometimes problematic	",Extremely satisfied
NA,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2022,Psychology,No,A fee paying school,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Turkey,19,Never been married,Undergraduate,Hacettepe University,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Egypt,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Iran,19,Never been married,Undergraduate,Bilkent University,2022,Computer Science,No,A fee paying school,No,Yes,Not important,Not important,Moderately important,Not important,Moderately important,Not important,Not important,Not important,Not important,Yes,,,,,,,,,,,,,,
NA,Azerbaijan,18,Never been married,Graduate,Hacettepe University,2022,Public Administration,No,A public school,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,
NA,Afghanistan,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Russian Federation,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.333333333,Lebanon,21,Never been married,Undergraduate,Middle East Technical University,2019,Mining And Mineral Engineering,No,A fee paying school,Yes,Yes,Not important,Moderately important,Very important,Very important,Moderately important,Not important,Not important,Not important,Moderately important,Yes,I do not intend to return,No,Yes,Twice,Sometimes,Sometimes,Always,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.833333333,Iran,20,Never been married,Undergraduate,Middle East Technical University,2021,Mining And Mineral Engineering,Yes,A fee paying school,No,No,Not important,Very important,Very important,Not important,Very important,Very important,Moderately important,Moderately important,Moderately important,Yes,I do not intend to return,Yes,Yes,Never,About half the time,Most of the time,Sometimes,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Neither satisfied nor dissatisfied
NA,Pakistan,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Azerbaijan,17,Never been married,Graduate,Hacettepe University,2022,Nutrition Sciences,No,A public school,,,,,,,,,,,,,,,,,,,,,,,,,,
2.666666667,Bangladesh,26,Married,Graduate,Sakarya University ,2019,Electrical Engineering Technology,Yes,A public school,No,Yes,Moderately important,Very important,Moderately important,Very important,Very important,Moderately important,Not important,Not important,Not important,Yes,I would return after a period of work,Yes,Yes,Once,Most of the time,About half the time,Sometimes,"Always problematic	","Always problematic	","Always problematic	","Always problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
NA,Yemen,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.166666667,Iran,24,Never been married,Undergraduate,Middle East Technical University,2019,Biology,No,A fee paying school,No,No,Not important,Moderately important,Moderately important,Not important,Not important,Moderately important,Not important,Very important,Very important,Yes,I do not intend to return,Yes,Yes,Never,Sometimes,Most of the time,Sometimes,"Always problematic	","Always problematic	","Always problematic	","Always problematic	","Always problematic	","Always problematic	",Somewhat dissatisfied
3.5,Bangladesh,23,Never been married,Undergraduate,Middle East Technical University,2020,Electrical Engineering,No,A fee paying school,No,Yes,Moderately important,Moderately important,Moderately important,Not important,Moderately important,Not important,Not important,Not important,Not important,Maybe,Undecided,No,Yes,Never,About half the time,Sometimes,Sometimes,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
2.166666667,Azerbaijan,17,Never been married,Undergraduate,Middle East Technical University,2022,Petroleum Engineering,No,An international school,Yes,No,Moderately important,Moderately important,Moderately important,Moderately important,Not important,Moderately important,Not important,Moderately important,Not important,Yes,Undecided,No,Yes,Never,Always,Always,About half the time,"Not problematic	","Not problematic	",,"Not problematic	","Sometimes problematic	",,Somewhat satisfied
2.666666667,Iran,21,Never been married,Undergraduate,Middle East Technical University,2020,Statistics,Yes,A public school,No,No,Not important,Not important,Moderately important,Not important,Not important,Not important,Not important,Not important,Not important,Yes,I do not intend to return,Yes,Yes,Once,Most of the time,Most of the time,About half the time,"Not problematic	","Sometimes problematic	","Always problematic	","Sometimes problematic	",,"Sometimes problematic	",Neither satisfied nor dissatisfied
NA,Iraq,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Pakistan,18,Never been married,Undergraduate,Ankara Yildirim Beyazit University,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Azerbaijan,19,Never been married,Undergraduate,Middle East Technical University,2020,Mining And Mineral Engineering,No,A public school,No,No,Moderately important,Moderately important,Very important,Not important,Not important,Very important,Not important,Not important,Very important,Yes,I do not intend to return,Yes,Yes,Twice,About half the time,Most of the time,Sometimes,"Not problematic	","Not problematic	","Not problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	",Somewhat satisfied
3.333333333,Iran,24,Married,Undergraduate,Middle East Technical University,2022,Industrial And Manufacturing Engineering,Yes,A public school,No,No,Not important,Moderately important,Very important,Not important,Not important,Not important,Moderately important,Not important,Very important,Yes,I do not intend to return,No,Yes,Never,About half the time,About half the time,Never,"Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Always problematic	",Somewhat satisfied
NA,Azerbaijan,17,Never been married,Graduate,Hacettepe University,2022,Mathematics,No,A fee paying school,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Azerbaijan,19,Never been married,Undergraduate,Hacettepe University,2021,International Relations,No,A public school,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,India,20,Never been married,"Diploma, technical qualification",Middle East Technical University,2022,Statistics,No,A fee paying school,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Pakistan,21,Never been married,Undergraduate,Bilkent University,2020,Economics,No,A fee paying school,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
NA,India,22,Never been married,Undergraduate,Middle East Technical University,2019,Mechanical Engineering,No,A fee paying school,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,NA,Psychology,No,A fee paying school,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.333333333,Afghanistan,21,Never been married,Graduate,Karabuk University,2022,Computer Engineering,Yes,A public school,,,Very important,Very important,Very important,Very important,Moderately important,Not important,Not important,Not important,Very important,Maybe,,,Yes,Never,Never,Never,Never,"Not problematic	","Not problematic	",,"Not problematic	","Not problematic	","Not problematic	",Neither satisfied nor dissatisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,Gambia,21,Never been married,Undergraduate,Middle East Technical University,2020,International Relations,No,A public school,No,Yes,,,Very important,,Very important,,Very important,Very important,,Yes,Undecided,Yes,Yes,Never,Sometimes,Sometimes,Sometimes,"Sometimes problematic	",,"Sometimes problematic	","Not problematic	","Always problematic	","Not problematic	",Somewhat satisfied
NA,Pakistan,21,Never been married,Undergraduate,Hacettepe University,2021,Humanities,No,A fee paying school,No,No,Moderately important,Very important,Very important,Moderately important,Very important,Not important,Not important,Not important,Not important,Yes,Undecided,,,,,,,,,,,,,
2.833333333,Indonesia,21,Never been married,Undergraduate,Middle East Technical University,2022,Business Management And Administration,No,An international school,,,Very important,Very important,Very important,Not important,Very important,Very important,Very important,Not important,Not important,Maybe,,,Yes,Never,About half the time,Always,Most of the time,"Sometimes problematic	","Not problematic	",,"Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
NA,Pakistan,30,Never been married,PHD,Ankara University,2021,Geological And Geophysical Engineering,No,A public school,Yes,Yes,Very important,Very important,Moderately important,Very important,Moderately important,Not important,Not important,Not important,Not important,Yes,Undecided,Yes,Yes,Never,,,,,,,,,,
2.833333333,Somalia,21,Never been married,Undergraduate,Middle East Technical University,NA,Geological And Geophysical Engineering,No,An international school,No,No,Very important,Moderately important,Very important,Not important,Very important,Not important,Not important,Not important,Moderately important,Yes,I do not intend to return,No,Yes,Never,Sometimes,Sometimes,About half the time,"Always problematic	","Not problematic	","Not problematic	","Always problematic	","Not problematic	","Not problematic	",Somewhat satisfied
3.166666667,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2022,Electrical Engineering,No,A fee paying school,No,No,Very important,Very important,Very important,Very important,,,Moderately important,,,Maybe,I would return after a period of work,Yes,Yes,Once,Sometimes,Sometimes,Most of the time,"Sometimes problematic	","Sometimes problematic	",,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3,Egypt,24,Never been married,Undergraduate,Middle East Technical University,2018,Civil Engineering,No,A public school,Yes,No,Not important,Moderately important,Very important,Moderately important,Moderately important,Not important,Not important,Not important,Not important,Yes,I would return after a period of work,No,Yes,Twice,About half the time,Most of the time,Most of the time,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Not problematic	","Not problematic	","Not problematic	",Somewhat satisfied
2.666666667,Afghanistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Statistics,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Not important,Not important,Not important,Moderately important,Moderately important,Not important,Yes,Undecided,No,Yes,Never,Sometimes,About half the time,Always,"Not problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Not problematic	","Not problematic	",Somewhat satisfied
NA,Antigua and Barbuda,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,Pakistan,19,Never been married,Undergraduate,Middle East Technical University,2022,Sociology,No,A fee paying school,No,Yes,Moderately important,Moderately important,Very important,Not important,Moderately important,Not important,Not important,Not important,Moderately important,Maybe,Undecided,Yes,Yes,Never,About half the time,Sometimes,Sometimes,"Sometimes problematic	","Not problematic	","Always problematic	","Not problematic	","Not problematic	","Always problematic	",Somewhat satisfied
3,Pakistan,19,Never been married,Undergraduate,Yildiz Technical University,2022,Computer Engineering,No,A fee paying school,No,No,Very important,Very important,Moderately important,Very important,Very important,Not important,Moderately important,Not important,Not important,Yes,Undecided,Yes,Yes,Never,Sometimes,About half the time,Most of the time,"Sometimes problematic	","Sometimes problematic	",,"Not problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.333333333,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2019,Biology,No,A fee paying school,No,No,Not important,Not important,Very important,Very important,Not important,Very important,Very important,Not important,,Maybe,I intend to return ,Yes,Yes,More than two times,About half the time,Sometimes,Always,"Always problematic	",,"Always problematic	","Sometimes problematic	","Always problematic	","Always problematic	",Somewhat satisfied
2.5,Pakistan,20,Never been married,Undergraduate,Bilkent University,2020,Business Management And Administration,No,An international school,Yes,Yes,Very important,Very important,Very important,Very important,Very important,Not important,Not important,Moderately important,Moderately important,Yes,Undecided,Yes,Yes,Once,Sometimes,Always,Never,"Sometimes problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Not problematic	",,Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.333333333,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2021,Molecular Biology,No,A fee paying school,No,No,Very important,Very important,Very important,Not important,Not important,Not important,Moderately important,Not important,Moderately important,Yes,I would return after a period of work,No,Yes,Once,Most of the time,About half the time,Most of the time,"Always problematic	","Not problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
3.166666667,Pakistan,19,Never been married,Undergraduate,Sabanci University,2022,Computer Science,No,A fee paying school,No,Yes,Moderately important,Very important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Maybe,I intend to return ,Yes,Yes,Never,Sometimes,Most of the time,Sometimes,"Sometimes problematic	","Sometimes problematic	",,"Sometimes problematic	","Sometimes problematic	","Sometimes problematic	",Somewhat satisfied
2.333333333,Egypt,19,Never been married,Undergraduate,Middle East Technical University,2022,Other Foreign Languages,No,A public school,No,No,Moderately important,Very important,Very important,Very important,Moderately important,Not important,Moderately important,Not important,Moderately important,Maybe,Undecided,No,Yes,Never,Sometimes,Sometimes,Sometimes,"Not problematic	","Sometimes problematic	",,"Not problematic	","Sometimes problematic	",,Somewhat satisfied
2.5,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2021,Mechanical Engineering,No,A fee paying school,No,No,Not important,,Very important,Not important,Very important,Not important,Not important,Not important,Not important,Yes,I intend to return ,Yes,Yes,Twice,Never,Always,Never,"Sometimes problematic	","Not problematic	",,"Sometimes problematic	","Always problematic	","Not problematic	",Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,Pakistan,21,Never been married,Undergraduate,Middle East Technical University,2020,Aerospace Engineering,No,An international school,Yes,Yes,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Not important,Very important,Not important,Moderately important,Maybe,Undecided,No,Yes,Once,About half the time,Most of the time,Sometimes,"Sometimes problematic	","Not problematic	","Always problematic	","Not problematic	","Always problematic	","Not problematic	",Extremely satisfied
3.166666667,Pakistan,21,Never been married,Undergraduate,Ozyegin University,2021,Business Management And Administration,Yes,A fee paying school,Yes,Yes,Moderately important,Very important,Moderately important,Very important,Not important,Not important,Moderately important,Moderately important,Not important,Yes,Undecided,Yes,No,More than two times,Sometimes,Most of the time,Most of the time,"Sometimes problematic	","Always problematic	","Sometimes problematic	","Sometimes problematic	","Not problematic	","Sometimes problematic	",Extremely satisfied
NA,Azerbaijan,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.166666667,Pakistan,18,Never been married,Undergraduate,Ozyegin University,2022,Electrical Engineering,No,An international school,No,Yes,Not important,Very important,Moderately important,Moderately important,Very important,Very important,Moderately important,Not important,Not important,Yes,I would return after a period of work,No,Yes,Once,Sometimes,About half the time,Most of the time,"Sometimes problematic	",,"Always problematic	","Sometimes problematic	",,"Not problematic	",Somewhat satisfied
NA,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Canada,21,Never been married,Undergraduate,Middle East Technical University,2019,Statistics,No,A public school,Yes,No,Moderately important,Not important,Moderately important,Not important,Not important,Moderately important,Very important,Not important,Very important,Yes,I would return after a period of work,Yes,Yes,Never,Always,Sometimes,Sometimes,,"Sometimes problematic	","Not problematic	","Sometimes problematic	","Always problematic	","Not problematic	",Neither satisfied nor dissatisfied
2.166666667,Pakistan,20,Never been married,Undergraduate,Middle East Technical University,2022,Computer Engineering,No,An international school,Yes,Yes,Moderately important,Not important,Very important,Moderately important,Moderately important,Not important,Not important,Not important,Not important,Maybe,Undecided,No,Yes,Never,Sometimes,Most of the time,Sometimes,"Not problematic	","Not problematic	",,"Sometimes problematic	","Not problematic	",,Somewhat satisfied
